CGPA,Semester,Skills_Count,Projects_Count,Internship,Coding_Profile,Aptitude_Score,Communication_Score,Resume_Score,Academic_Score,Skill_Score,Project_Score,Internship_Score,Coding_Score,Placement_Readiness
9.35,3,8,3,0,7,52.6,61.0,94.2,93.5,80,60,0,70,64.5
7.49,7,8,3,0,7,79.7,46.8,62.0,74.9,80,60,0,70,70.93
6.44,1,9,4,0,4,70.9,39.6,55.0,64.4,90,80,0,40,61.17
8.32,3,7,1,0,4,82.6,74.4,72.9,83.2,70,20,0,40,64.84
6.28,8,6,4,1,9,46.6,59.6,44.5,62.8,60,80,100,90,70.14
7.71,4,9,1,0,8,75.3,64.7,72.0,77.10000000000001,90,20,0,80,60.65
5.54,7,5,2,1,6,43.0,55.6,62.1,55.400000000000006,50,40,100,60,40.42
6.17,3,5,4,0,8,65.8,60.0,87.9,61.7,50,80,0,80,57.74
7.7,4,3,2,1,6,62.0,57.3,56.1,77.0,30,40,100,60,58.37
8.24,1,9,0,0,2,100.0,68.6,42.8,82.4,90,0,0,20,42.65
7.67,4,2,0,1,3,51.9,68.7,86.7,76.7,20,0,100,30,49.85
7.38,1,10,1,0,8,61.4,65.1,59.9,73.8,100,20,0,80,47.89
7.2,2,3,3,1,7,67.1,65.4,82.6,72.0,30,60,100,70,81.05
6.02,4,4,4,1,2,80.9,51.1,57.5,60.199999999999996,40,80,100,20,60.19
6.78,3,1,4,0,5,39.6,56.2,88.5,67.80000000000001,10,80,0,50,60.4
7.04,7,2,4,0,4,89.5,53.2,60.3,70.39999999999999,20,80,0,40,56.52
8.56,8,5,2,0,6,42.0,78.5,60.6,85.60000000000001,50,40,0,60,60.44
7.84,5,6,2,0,9,67.0,37.9,70.2,78.4,60,40,0,90,54.85
5.74,3,6,3,0,1,54.3,64.1,38.9,57.400000000000006,60,60,0,10,51.24
7.82,6,3,2,0,7,65.4,76.5,57.2,78.2,30,40,0,70,58.83
7.11,7,4,4,0,5,56.1,58.0,86.1,71.10000000000001,40,80,0,50,60.3
6.82,5,9,5,1,5,70.4,56.9,63.5,68.2,90,100,100,50,77.54
8.11,8,1,4,0,2,64.5,81.6,76.2,81.1,10,80,0,20,58.21
8.53,3,9,5,1,9,69.0,34.6,57.8,85.3,90,100,100,90,79.79
8.43,8,8,5,0,8,78.3,54.9,44.2,84.3,80,100,0,80,67.28
6.66,4,4,2,1,3,33.1,72.8,54.4,66.60000000000001,40,40,100,30,54.74
7.19,2,4,3,0,2,68.8,71.4,76.5,71.9,40,60,0,20,55.05
7.83,6,5,4,0,6,75.5,65.1,31.5,78.3,50,80,0,60,55.15
8.48,4,10,3,0,6,15.0,60.4,74.5,84.80000000000001,100,60,0,60,67.73
7.02,1,2,3,0,8,36.2,78.1,57.5,70.19999999999999,20,60,0,80,54.53
7.31,2,7,2,1,1,86.2,37.9,87.3,73.1,70,40,100,10,66.17
6.39,7,2,3,1,5,80.9,64.2,74.1,63.9,20,60,100,50,51.17
6.3,6,7,2,1,8,72.7,64.5,58.4,63.0,70,40,100,80,80.29
8.31,4,5,2,0,9,47.4,79.5,58.9,83.10000000000001,50,40,0,90,49.67
8.86,2,7,2,0,2,95.4,54.2,56.8,88.6,70,40,0,20,58.9
7.43,1,1,2,0,6,81.7,59.5,74.5,74.3,10,40,0,60,51.36
8.5,6,9,1,0,6,84.9,73.0,66.6,85.0,90,20,0,60,60.46
7.86,5,4,3,0,8,34.4,70.3,86.9,78.60000000000001,40,60,0,80,53.5
6.85,7,10,3,0,5,78.8,57.5,66.3,68.5,100,60,0,50,51.65
7.86,6,8,1,1,7,97.7,78.5,31.9,78.60000000000001,80,20,100,70,72.81
9.04,7,6,3,0,2,59.1,69.8,77.5,90.39999999999999,60,60,0,20,62.82
7.46,8,4,1,1,2,95.4,71.3,48.5,74.6,40,20,100,20,56.42
9.06,7,10,4,1,4,71.3,81.9,65.7,90.60000000000001,100,80,100,40,82.57
5.0,2,8,2,1,3,54.5,62.6,72.8,50.0,80,40,100,30,67.65
8.32,2,9,2,0,4,37.0,64.1,76.3,83.2,90,40,0,40,57.26
7.59,1,5,2,0,3,59.7,77.0,71.6,75.9,50,40,0,30,52.78
7.2,6,10,3,0,3,62.4,53.2,70.5,72.0,100,60,0,30,57.55
7.59,4,8,3,0,4,37.9,59.6,81.9,75.9,80,60,0,40,52.57
5.51,5,4,3,0,10,70.0,66.8,97.3,55.099999999999994,40,60,0,100,60.49
7.28,2,10,3,1,5,41.9,48.7,52.2,72.8,100,60,100,50,60.8
7.86,2,4,3,1,8,46.1,35.8,44.6,78.60000000000001,40,60,100,80,61.16
8.98,2,9,5,0,7,41.6,39.2,46.3,89.8,90,100,0,70,60.65
6.98,2,7,3,1,1,65.7,48.8,62.7,69.80000000000001,70,60,100,10,59.42
6.69,8,5,1,0,10,68.0,54.4,55.1,66.9,50,20,0,100,58.63
7.0,6,7,3,0,0,36.9,59.7,62.6,70.0,70,60,0,0,50.03
8.42,1,1,1,1,5,45.2,73.1,44.8,84.2,10,20,100,50,54.96
7.83,2,2,1,0,5,91.3,47.7,82.8,78.3,20,20,0,50,36.8
6.97,5,4,4,0,10,68.5,55.0,31.8,69.69999999999999,40,80,0,100,63.11
8.01,1,10,1,1,4,55.4,52.7,88.8,80.1,100,20,100,40,66.34
7.6,6,2,4,0,8,59.4,59.6,55.4,76.0,20,80,0,80,44.52
8.47,8,6,3,1,7,45.5,54.7,57.6,84.7,60,60,100,70,65.65
6.8,2,2,2,1,6,79.9,84.2,95.6,68.0,20,40,100,60,57.14
7.17,6,8,4,1,9,69.6,81.7,75.4,71.7,80,80,100,90,88.94
7.11,5,7,5,0,10,59.8,41.5,54.6,71.10000000000001,70,100,0,100,70.49
6.04,3,5,2,0,6,77.5,62.5,91.2,60.4,50,40,0,60,57.2
7.8,3,10,4,1,8,75.7,73.6,27.8,78.0,100,80,100,80,85.79
7.76,8,1,3,1,7,89.9,46.7,71.4,77.60000000000001,10,60,100,70,69.79
7.51,5,8,3,0,0,74.0,49.7,83.3,75.1,80,60,0,0,57.01
7.27,8,4,2,0,6,25.6,60.7,52.2,72.7,40,40,0,60,37.37
6.08,2,4,4,0,6,61.3,79.4,53.9,60.8,40,80,0,60,64.76
7.08,2,4,4,0,3,66.7,100.0,84.2,70.8,40,80,0,30,51.51
7.16,8,1,4,0,7,45.8,75.6,7.6,71.6,10,80,0,70,39.4
6.7,1,10,2,1,6,59.8,75.1,61.1,67.0,100,40,100,60,69.08
7.34,2,10,1,0,10,41.7,85.8,91.8,73.4,100,20,0,100,72.96
7.9,1,2,3,1,8,73.6,81.1,31.5,79.0,20,60,100,80,71.08
9.39,2,7,2,0,6,72.1,73.9,53.7,93.9,70,40,0,60,65.57
7.67,6,1,2,0,0,40.9,73.0,64.5,76.7,10,40,0,0,30.18
7.76,4,5,2,0,6,75.4,67.5,51.7,77.60000000000001,50,40,0,60,52.7
7.43,4,9,2,0,0,82.3,88.3,58.6,74.3,90,40,0,0,56.4
5.58,5,8,5,1,2,43.2,57.7,64.9,55.800000000000004,80,100,100,20,66.52
7.47,7,8,4,1,2,73.6,73.3,68.2,74.7,80,80,100,20,79.31
7.56,7,5,1,0,8,71.2,73.9,77.6,75.6,50,20,0,80,46.6
9.96,7,4,4,1,6,57.0,47.9,50.1,99.60000000000001,40,80,100,60,66.4
7.31,6,10,0,0,7,84.8,64.7,56.4,73.1,100,0,0,70,61.19
7.8,7,2,4,1,8,68.4,50.3,62.9,78.0,20,80,100,80,72.06
7.47,4,1,1,1,10,41.3,55.5,52.2,74.7,10,20,100,100,56.29
6.33,7,2,3,0,5,28.9,77.9,77.5,63.3,20,60,0,50,49.17
8.64,3,7,2,0,7,90.8,49.7,65.5,86.4,70,40,0,70,58.83
8.25,3,6,3,0,8,27.3,56.7,60.1,82.5,60,60,0,80,67.02
8.29,7,7,2,0,5,66.1,50.5,75.1,82.89999999999999,70,40,0,50,53.94
6.59,7,10,0,1,5,53.5,56.2,100.0,65.9,100,0,100,50,58.5
8.9,1,3,4,1,3,69.3,29.7,36.5,89.0,30,80,100,30,59.77
6.1,8,5,3,1,4,71.2,65.8,64.9,61.0,50,60,100,40,64.13
8.09,3,3,2,0,4,68.4,62.1,69.4,80.89999999999999,30,40,0,40,46.37
9.69,2,9,3,0,8,67.4,85.5,89.4,96.89999999999999,90,60,0,80,67.34
6.51,1,8,1,0,10,69.1,92.6,57.9,65.10000000000001,80,20,0,100,47.51
6.93,6,7,3,0,8,72.9,65.5,91.2,69.3,70,60,0,80,68.33
7.6,4,6,2,0,9,71.7,67.7,56.1,76.0,60,40,0,90,45.75
7.0,7,4,3,0,5,43.5,50.7,73.9,70.0,40,60,0,50,45.26
5.95,4,4,3,0,6,44.6,98.1,64.0,59.5,40,60,0,60,53.15
7.57,3,2,0,0,1,66.9,32.6,51.5,75.7,20,0,0,10,32.48
6.44,3,6,3,0,9,85.9,80.9,50.9,64.4,60,60,0,90,64.3
7.97,2,6,2,0,7,46.4,65.6,71.0,79.69999999999999,60,40,0,70,56.03
6.58,4,10,2,1,8,71.9,63.5,64.6,65.8,100,40,100,80,59.8
9.05,7,2,4,0,1,46.7,78.6,78.2,90.5,20,80,0,10,54.2
6.72,8,7,1,0,5,57.6,56.8,58.3,67.19999999999999,70,20,0,50,45.59
7.18,3,10,2,1,6,76.1,70.3,93.3,71.8,100,40,100,60,68.69
8.31,4,4,1,0,6,63.9,49.6,54.7,83.10000000000001,40,20,0,60,47.56
6.27,4,6,5,0,7,51.0,56.0,65.9,62.7,60,100,0,70,58.13
7.73,3,6,2,0,6,80.5,53.8,44.0,77.3,60,40,0,60,55.16
8.81,4,7,4,1,9,91.2,54.1,54.9,88.1,70,80,100,90,75.82
5.89,3,3,3,1,7,27.7,64.6,40.7,58.9,30,60,100,70,56.96
7.68,7,5,2,1,5,50.9,64.7,27.5,76.8,50,40,100,50,70.68
7.76,7,5,3,0,9,54.0,64.4,92.6,77.60000000000001,50,60,0,90,50.23
8.28,5,4,3,1,6,76.5,45.7,55.5,82.8,40,60,100,60,63.19
6.26,3,10,3,0,8,52.6,54.8,26.1,62.6,100,60,0,80,59.08
6.18,4,10,2,1,6,82.9,34.9,62.6,61.8,100,40,100,60,68.15
8.02,5,10,4,1,10,63.8,96.3,53.8,80.19999999999999,100,80,100,100,89.46
7.8,7,7,4,0,4,70.4,56.6,74.7,78.0,70,80,0,40,65.71
7.75,4,5,5,1,3,57.0,100.0,97.1,77.5,50,100,100,30,72.76
7.85,4,3,4,1,9,79.2,58.0,49.8,78.49999999999999,30,80,100,90,76.46
6.82,8,4,2,0,6,88.9,63.9,87.8,68.2,40,40,0,60,54.14
7.73,5,2,2,0,6,86.0,56.3,80.7,77.3,20,40,0,60,41.54
7.79,6,3,3,1,7,31.3,53.8,48.2,77.9,30,60,100,70,62.84
6.79,2,5,1,0,9,87.3,51.8,48.5,67.9,50,20,0,90,49.77
9.37,5,1,2,0,9,68.8,31.5,45.6,93.69999999999999,10,40,0,90,37.73
7.97,7,4,0,1,7,59.9,75.9,72.4,79.69999999999999,40,0,100,70,59.9
6.31,6,5,1,1,9,32.3,92.5,94.4,63.1,50,20,100,90,68.48
8.16,6,5,2,1,4,41.1,68.6,80.7,81.60000000000001,50,40,100,40,68.11
6.53,4,8,3,0,1,33.6,95.7,86.7,65.3,80,60,0,10,54.56
8.29,4,3,5,0,8,53.6,72.5,88.4,82.89999999999999,30,100,0,80,65.79
8.66,7,9,1,1,10,44.7,69.6,44.1,86.6,90,20,100,100,80.74
6.68,2,4,1,0,10,86.0,51.1,61.5,66.8,40,20,0,100,41.47
8.46,8,10,5,1,10,57.1,67.0,52.7,84.60000000000001,100,100,100,100,95.96
7.91,5,5,3,1,9,54.5,64.7,67.4,79.10000000000001,50,60,100,90,78.15
8.32,3,2,3,0,0,75.0,38.4,66.2,83.2,20,60,0,0,41.92
9.4,8,2,0,0,6,53.4,61.4,69.7,94.0,20,0,0,60,37.78
7.25,4,9,2,0,0,33.1,68.6,88.7,72.5,90,40,0,0,56.62
6.75,8,9,3,0,10,68.9,69.7,83.8,67.5,90,60,0,100,70.68
6.61,5,2,2,0,6,89.3,53.5,73.2,66.10000000000001,20,40,0,60,48.2
6.68,1,1,4,1,7,39.2,79.4,73.0,66.8,10,80,100,70,57.87
7.42,4,1,3,0,9,50.4,61.9,89.3,74.2,10,60,0,90,59.31
7.84,3,9,5,0,5,71.0,64.4,63.5,78.4,90,100,0,50,66.84
7.78,4,5,3,0,7,70.3,79.3,45.9,77.8,50,60,0,70,58.71
8.33,6,3,1,0,4,80.7,44.2,71.7,83.3,30,20,0,40,45.77
7.51,8,1,3,0,5,24.0,70.1,81.7,75.1,10,60,0,50,39.7
8.95,5,4,1,0,6,76.6,16.5,37.9,89.49999999999999,40,20,0,60,55.53
7.24,2,3,4,0,6,93.6,84.2,50.5,72.39999999999999,30,80,0,60,51.56
10.0,1,5,2,0,6,53.4,65.8,97.6,100.0,50,40,0,60,68.65
8.13,3,10,2,0,3,77.3,73.3,62.2,81.30000000000001,100,40,0,30,67.46
6.64,7,8,4,1,9,84.7,49.5,51.8,66.39999999999999,80,80,100,90,68.51
6.43,4,7,2,0,6,72.6,68.5,68.2,64.3,70,40,0,60,53.28
7.98,3,5,3,0,3,71.6,66.7,63.8,79.80000000000001,50,60,0,30,51.13
7.28,2,10,4,0,0,100.0,69.0,42.6,72.8,100,80,0,0,75.4
8.21,1,3,1,0,8,85.6,44.8,69.0,82.10000000000001,30,20,0,80,47.5
7.97,8,5,2,1,5,69.9,63.7,38.4,79.69999999999999,50,40,100,50,68.73
7.43,3,1,1,1,1,42.7,76.5,43.1,74.3,10,20,100,10,39.56
6.65,5,3,4,1,5,61.1,81.4,40.0,66.5,30,80,100,50,66.64
5.99,5,2,1,0,9,58.5,33.6,90.9,59.9,20,20,0,90,47.39
7.05,3,1,5,1,8,47.0,47.9,58.5,70.5,10,100,100,80,73.76
8.36,8,5,2,1,4,46.2,92.1,42.4,83.6,50,40,100,40,53.94
7.71,1,1,3,0,3,69.5,63.3,100.0,77.10000000000001,10,60,0,30,59.03
6.25,4,2,2,0,4,46.9,39.7,78.4,62.5,20,40,0,40,42.32
7.67,5,1,4,0,1,55.1,77.9,100.0,76.7,10,80,0,10,59.55
7.89,4,10,2,1,2,53.7,52.7,60.6,78.89999999999999,100,40,100,20,61.78
6.62,4,8,3,1,3,35.2,55.7,26.9,66.2,80,60,100,30,57.49
7.65,3,8,5,0,8,92.7,47.5,61.1,76.5,80,100,0,80,64.35
7.56,5,1,3,0,10,82.3,76.1,63.8,75.6,10,60,0,100,56.88
6.36,3,7,3,1,3,84.6,57.8,70.4,63.6,70,60,100,30,68.77
7.86,2,3,4,1,5,86.8,47.2,68.3,78.60000000000001,30,80,100,50,61.35
8.06,4,3,4,0,2,68.5,99.6,44.3,80.60000000000001,30,80,0,20,62.03
8.58,1,2,4,1,8,55.9,99.2,26.2,85.8,20,80,100,80,65.77
8.55,7,2,0,1,7,66.3,55.0,75.2,85.50000000000001,20,0,100,70,61.98
6.12,6,10,4,0,7,67.4,40.3,64.8,61.199999999999996,100,80,0,70,59.34
6.56,4,6,4,0,2,49.1,60.8,58.8,65.6,60,80,0,20,44.01
8.02,1,5,2,1,6,49.2,39.6,55.2,80.19999999999999,50,40,100,60,57.82
8.01,3,6,3,1,4,50.1,56.2,34.5,80.1,60,60,100,40,69.82
8.02,5,10,2,1,10,81.9,76.3,100.0,80.19999999999999,100,40,100,100,88.1
10.0,4,3,2,0,5,100.0,82.2,75.6,100.0,30,40,0,50,56.47
8.07,2,7,2,0,7,77.1,61.6,87.8,80.7,70,40,0,70,51.16
8.64,4,10,4,0,2,24.5,79.5,100.0,86.4,100,80,0,20,68.15
8.45,1,4,5,0,6,47.1,61.1,40.1,84.5,40,100,0,60,52.45
8.15,8,2,4,0,5,56.4,49.4,75.5,81.5,20,80,0,50,50.23
7.18,7,7,1,0,7,72.3,64.7,68.1,71.8,70,20,0,70,61.74
8.26,1,4,4,1,4,49.7,87.4,84.5,82.6,40,80,100,40,81.37
6.73,1,1,2,1,8,70.5,33.1,41.4,67.30000000000001,10,40,100,80,49.66
7.26,5,9,1,1,7,89.3,36.4,49.5,72.6,90,20,100,70,75.35
7.01,2,1,3,0,9,51.7,100.0,80.5,70.1,10,60,0,90,52.14
7.58,2,1,5,0,1,87.8,76.6,48.8,75.8,10,100,0,10,63.72
9.81,1,7,2,0,7,77.6,62.6,35.5,98.10000000000001,70,40,0,70,61.03
5.63,2,7,3,0,1,76.8,73.9,67.3,56.3,70,60,0,10,53.03
8.19,2,9,4,0,8,73.4,61.9,66.6,81.89999999999999,90,80,0,80,76.18
5.89,3,5,4,0,2,49.1,62.2,90.7,58.9,50,80,0,20,58.4
7.03,6,2,0,0,5,60.3,76.0,71.2,70.30000000000001,20,0,0,50,40.04
8.59,2,8,3,0,1,100.0,89.6,95.7,85.9,80,60,0,10,58.48
7.56,6,3,4,1,0,76.8,75.3,79.6,75.6,30,80,100,0,69.35
6.42,1,5,2,1,10,95.7,48.1,76.9,64.2,50,40,100,100,71.38
6.78,5,6,1,0,3,58.7,82.3,86.7,67.80000000000001,60,20,0,30,39.67
8.18,6,3,2,1,1,54.1,56.5,81.0,81.8,30,40,100,10,53.62
6.77,3,6,4,0,1,60.2,81.5,53.6,67.69999999999999,60,80,0,10,59.34
7.72,2,5,5,1,8,79.2,72.1,22.9,77.2,50,100,100,80,70.51
7.55,3,7,3,1,7,49.4,64.1,63.1,75.5,70,60,100,70,83.54
6.85,4,10,5,0,7,59.3,50.6,63.6,68.5,100,100,0,70,74.35
9.64,3,2,5,1,8,63.6,55.7,76.2,96.4,20,100,100,80,80.39
8.13,6,8,4,0,4,67.8,56.4,70.2,81.30000000000001,80,80,0,40,59.48
5.47,7,6,2,1,10,43.0,57.4,63.3,54.699999999999996,60,40,100,100,69.95
7.69,3,1,4,0,0,65.5,69.2,100.0,76.9,10,80,0,0,53.99
6.84,3,2,5,0,8,71.4,61.9,60.1,68.39999999999999,20,100,0,80,69.69
8.35,8,3,4,0,7,0.0,74.5,48.6,83.5,30,80,0,70,44.43
6.71,2,3,3,0,7,79.2,72.9,100.0,67.10000000000001,30,60,0,70,63.95
7.39,3,10,4,0,2,79.6,89.8,70.3,73.9,100,80,0,20,69.92
8.0,6,3,4,1,6,51.6,69.0,60.3,80.0,30,80,100,60,56.28
8.37,8,5,1,0,9,83.8,81.4,74.5,83.7,50,20,0,90,66.55
6.3,5,9,2,0,10,68.5,44.5,79.9,63.0,90,40,0,100,64.2
7.17,2,6,4,1,6,94.1,72.6,80.2,71.7,60,80,100,60,80.31
7.03,1,9,4,0,7,65.8,74.5,84.0,70.30000000000001,90,80,0,70,70.33
6.85,4,3,2,0,7,50.8,69.7,86.9,68.5,30,40,0,70,52.46
9.27,8,9,3,1,8,9.5,57.0,70.7,92.69999999999999,90,60,100,80,75.8
7.9,1,4,5,0,9,72.6,71.6,67.8,79.0,40,100,0,90,50.12
6.24,2,7,2,1,7,84.3,67.3,64.9,62.4,70,40,100,70,73.0
8.42,1,1,2,1,1,31.3,69.0,67.2,84.2,10,40,100,10,54.07
9.62,4,10,3,0,3,71.8,52.7,69.7,96.2,100,60,0,30,68.67
8.53,8,3,1,0,6,54.7,85.4,83.1,85.3,30,20,0,60,58.55
5.98,6,4,1,0,8,70.4,70.3,55.8,59.80000000000001,40,20,0,80,53.02
7.02,6,8,4,0,10,40.0,82.0,73.8,70.19999999999999,80,80,0,100,55.17
8.77,3,1,4,0,4,66.2,73.6,87.7,87.7,10,80,0,40,42.52
6.79,1,7,4,0,7,44.7,44.5,48.4,67.9,70,80,0,70,54.66
7.94,6,4,0,0,7,75.6,67.5,41.8,79.4,40,0,0,70,43.75
8.27,2,3,2,1,5,51.5,53.6,67.4,82.69999999999999,30,40,100,50,66.14
6.57,5,8,4,1,4,79.3,59.5,68.6,65.7,80,80,100,40,71.98
7.44,4,5,4,0,7,62.1,36.7,69.6,74.4,50,80,0,70,61.88
5.0,1,6,3,0,5,81.6,70.6,76.6,50.0,60,60,0,50,52.96
6.48,5,2,4,0,10,58.1,85.2,61.1,64.8,20,80,0,100,62.53
7.25,4,1,4,0,6,65.2,49.4,49.3,72.5,10,80,0,60,47.9
6.25,1,7,4,1,4,54.9,70.8,66.3,62.5,70,80,100,40,52.92
9.13,2,8,4,0,5,65.1,65.2,72.6,91.3,80,80,0,50,74.22
6.07,5,3,4,0,9,54.1,77.6,42.6,60.699999999999996,30,80,0,90,50.88
7.06,6,6,1,0,5,96.7,66.0,81.6,70.6,60,20,0,50,61.15
7.63,8,1,3,1,3,50.9,69.6,45.4,76.3,10,60,100,30,59.81
8.94,5,4,2,0,1,57.4,61.4,97.5,89.39999999999999,40,40,0,10,42.97
6.06,7,2,1,1,3,76.3,31.6,78.7,60.6,20,20,100,30,57.48
8.66,1,1,5,1,7,58.0,45.3,33.3,86.6,10,100,100,70,65.21
7.51,1,3,3,1,3,79.4,52.4,89.5,75.1,30,60,100,30,67.98
6.52,2,2,4,0,8,72.4,74.9,25.3,65.19999999999999,20,80,0,80,59.51
7.96,2,5,2,1,1,91.4,80.8,31.0,79.60000000000001,50,40,100,10,58.81
7.7,7,9,2,0,4,46.4,57.8,51.8,77.0,90,40,0,40,52.67
6.9,3,8,3,0,2,49.4,64.9,62.3,69.0,80,60,0,20,61.06
7.57,8,2,1,1,0,43.7,59.8,42.4,75.7,20,20,100,0,43.23
7.11,8,7,1,0,6,45.8,58.3,45.4,71.10000000000001,70,20,0,60,53.38
7.61,1,3,1,1,3,65.6,39.2,64.5,76.1,30,20,100,30,51.99
8.16,2,6,4,1,7,73.9,62.0,66.7,81.60000000000001,60,80,100,70,74.43
9.09,1,9,3,0,9,36.5,14.7,89.9,90.9,90,60,0,90,67.41
6.26,2,3,5,1,6,51.3,64.4,34.4,62.6,30,100,100,60,54.72
9.63,4,10,4,0,5,94.3,81.0,58.3,96.30000000000001,100,80,0,50,71.19
5.55,2,10,3,1,4,69.9,41.8,66.5,55.49999999999999,100,60,100,40,68.04
7.35,2,2,3,0,5,99.8,57.4,82.9,73.5,20,60,0,50,50.34
8.09,4,2,3,0,4,32.7,90.4,74.9,80.89999999999999,20,60,0,40,58.67
7.78,4,5,1,1,4,58.8,71.1,50.4,77.8,50,20,100,40,46.55
6.88,6,6,1,1,9,78.2,30.7,40.8,68.8,60,20,100,90,61.49
7.29,3,4,3,0,10,52.8,58.9,36.7,72.89999999999999,40,60,0,100,57.42
7.01,2,6,4,0,8,50.9,66.4,97.5,70.1,60,80,0,80,74.18
6.91,4,4,3,1,6,63.9,39.3,67.9,69.10000000000001,40,60,100,60,63.8
8.35,3,5,3,0,8,64.4,69.0,83.3,83.5,50,60,0,80,57.54
7.86,3,7,3,0,7,56.4,72.5,64.4,78.60000000000001,70,60,0,70,64.11
6.81,1,6,2,0,6,64.6,100.0,43.0,68.1,60,40,0,60,59.19
8.4,4,2,2,1,9,45.3,76.6,44.8,84.00000000000001,20,40,100,90,55.3
7.81,5,9,4,1,8,71.8,44.9,84.0,78.1,90,80,100,80,76.68
8.31,4,10,2,0,7,36.5,65.4,75.7,83.10000000000001,100,40,0,70,59.35
8.13,7,5,1,0,7,56.5,79.0,78.5,81.30000000000001,50,20,0,70,60.14
6.67,7,9,3,0,6,86.7,87.3,86.3,66.7,90,60,0,60,64.26
6.94,4,5,4,0,5,67.7,76.8,72.8,69.4,50,80,0,50,60.85
8.25,3,3,2,0,7,51.8,80.4,80.7,82.5,30,40,0,70,56.69
8.11,8,7,2,1,3,27.9,57.9,56.7,81.1,70,40,100,30,61.36
7.48,6,8,3,0,6,73.4,64.5,81.6,74.8,80,60,0,60,64.52
7.62,4,5,4,1,3,55.3,52.6,66.8,76.2,50,80,100,30,67.34
8.78,4,9,3,1,8,76.7,64.5,46.0,87.79999999999998,90,60,100,80,78.36
6.91,6,3,4,1,9,78.8,68.7,68.6,69.10000000000001,30,80,100,90,75.54
8.05,3,8,2,0,6,69.6,84.0,63.3,80.5,80,40,0,60,58.9
7.3,3,2,3,1,5,52.8,91.9,70.8,73.0,20,60,100,50,64.02
7.28,7,10,3,1,0,69.4,82.9,100.0,72.8,100,60,100,0,71.55
8.6,1,1,5,1,4,36.4,64.9,66.9,86.0,10,100,100,40,62.03
8.33,1,7,4,0,4,53.5,66.8,66.5,83.3,70,80,0,40,54.03
8.31,4,10,1,1,4,57.0,71.6,100.0,83.10000000000001,100,20,100,40,67.53
8.81,8,5,3,0,5,54.9,66.8,75.0,88.1,50,60,0,50,64.06
7.52,4,7,1,0,4,50.9,54.4,78.0,75.2,70,20,0,40,55.0
8.18,6,3,5,1,3,49.5,44.5,66.5,81.8,30,100,100,30,66.03
7.19,2,3,2,0,9,54.3,75.6,15.8,71.9,30,40,0,90,42.12
7.82,5,1,3,0,7,66.5,59.1,60.1,78.2,10,60,0,70,58.82
